token_address,buy_timestamp,rvol,natr,vwap_dev,stoch_k,stoch_d,upper_wick,lower_wick,market_cap,token_age_hours,data_points,label
8s5dcNbUhXGCfASenPCJcdAkYsCQafsYWyByZ5yspump,1751482089223,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,5747898023400.41,0.00,1,good
DHWsCTAezSaMZcbyyXZy32sj1Q9aycBnGscswe2Jbonk,1751481874730,0.7021,33.1818,0.8388,35.5730,35.5730,0.3425,0.5140,532740558686421.00,0.73,45,bad
8BVgU7ajwQUNUVq6t8kJ2cNg2vRHvyYBvbqqMDfLpump,1751481947090,1.0000,0.0000,0.0000,98.5036,98.5036,0.0150,0.0000,7391236221510.95,0.00,1,good
HLWizNcMbxhoQbDxZ7kgT2aoctup46gxK3528sRQxA1M,1751481450104,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,4841870153257.37,0.00,1,good
EVY4rr9FSphKeHSfAq3LWLNy1dwSFfrfxLWYyzF2bonk,1751481296442,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,24493404483436.55,0.00,1,bad
HNEHBRcexBnVYhrxxA4tYa9Abgigc9UJGDYg2ZX6VvMa,1751481131472,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,5141083220320.55,0.00,1,good
5R9Rda12UgoUNeYkiPoj3t6iQVuhpaSXQGjGw5vXpump,1751480690795,2.8629,12.8195,1.3736,93.4508,93.4508,0.2313,0.0031,86815453660434.20,0.87,9,good
9mfqn25C1nMVwn7YjxdJFvvTqichHFf8aR6vzNzPSodh,1751479307404,2.6580,119.5205,0.7745,66.3172,66.3172,0.3993,0.1521,70327858749127.03,0.02,2,good
2784oaEfz4nRg7vmkwYcTRWWkit6DQacRCoi74hY4jbh,1751478276942,0.9028,5.2417,-0.9726,20.5701,20.5701,0.0000,0.0000,96662496517927.67,1.73,21,good
VV7uCNrcC6gAghcXfnLxDdikFHvc6qPSHd6RUmLy2LW,1751479126866,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,7523257144984.69,0.00,1,good
FNJjtt12VC9zQcDFazddwgYGtKBHWqezMgzBKLhqhWpS,1751479276781,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,7425001545439.13,0.00,1,good
6k3NGvmdmfHAgexQvhUxy2LEtCPCo9Jy7q6fb2ippump,1751478606906,0.3606,45.1072,-0.0732,39.7261,39.7261,0.0000,0.0680,173151041149860.09,0.58,36,bad
6VeWUFXYFSZgKJ6UF9Fq7titUeUnvJJA8s62Gmdqpump,1751478463133,4.1119,19.7943,1.6917,93.6880,93.6880,0.1149,0.0000,69816941116885.52,0.07,5,bad
8psvVPULU85pCRoUcbuswLqyW2c5DCaLy77Bggx1gZdF,1751478383727,1.0000,0.0000,0.0000,58.5205,58.5205,0.4148,0.0000,10627110889265.79,0.00,1,bad
DtRsgGixWk6pV9AkqYaTNCqbazkmfQ3rV2U3RCLYbonk,1751426753989,1.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,4939291193071.44,0.00,1,good
